,Title,Year,Duration,Rated,IMDB Rating,Number of Ratings,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western
872,Hairspray,0.46670247046186897,0.4317343173431734,0.3333333333333333,0.7204301075268816,0.047,0.05,0.0,0.0,0.1,0.05,0.9,0.0,0.2,0.0,0.75,0.0,0.85,0.05,1.0,0.1,0.15,0.0,0.8,0.95,0.05,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0
873,Locked In,0.47529538131041893,0.35424354243542433,0.6666666666666666,0.5483870967741935,0.0033333333333333335,0.0,0.0,0.0,0.05,0.6,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
874,Ghostlight,0.4758324382384533,0.42435424354243545,0.16666666666666666,0.8064516129032258,0.0,0.0,0.0,0.0,0.05,0.6,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.6,0.8,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
875,Boneyard,0.4758324382384533,0.35424354243542433,0.6666666666666666,0.45161290322580644,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
876,xXx,0.4640171858216971,0.4575645756457565,0.3333333333333333,0.6236559139784945,0.06266666666666666,0.98,0.85,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.15,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
877,Wolf,0.4597207303974221,0.4612546125461255,0.6666666666666666,0.6774193548387096,0.020666666666666667,0.7,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.1,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
878,Enemy at the Gates,0.46348012889366275,0.4833948339483395,0.16666666666666666,0.8064516129032258,0.094,0.95,0.2,0.0,0.1,0.8,0.05,0.0,0.0,0.0,0.9,0.7,0.0,0.0,1.0,0.95,0.98,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.99,0.0
879,Anna Karenina,0.46938775510204084,0.47601476014760147,0.6666666666666666,0.7096774193548386,0.036,0.05,0.01,0.0,0.25,0.7,0.05,0.02,0.0,0.0,0.95,0.6,0.0,0.0,0.99,0.8,0.0,0.0,0.1,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.05,0.0,0.0
880,Mother of the Bride,0.4758324382384533,0.3247232472324723,0.3333333333333333,0.5161290322580645,0.005,0.0,0.0,0.0,0.05,0.0,0.85,0.0,0.15,0.0,0.6,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0
881,Annabelle,0.47046186895810954,0.36531365313653136,0.6666666666666666,0.5806451612903226,0.06,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0
882,Spencer,0.47422126745435017,0.4317343173431734,0.6666666666666666,0.6989247311827956,0.026,0.01,0.01,0.0,0.25,0.95,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.95,0.9,0.9,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
883,"Extremely Wicked, Shockingly Evil and Vile",0.4731471535982814,0.4059040590405904,0.6666666666666666,0.7204301075268816,0.035666666666666666,0.05,0.01,0.0,0.05,0.95,0.03,0.85,0.01,0.0,0.9,0.0,0.0,0.0,1.0,0.9,0.9,0.0,0.0,0.0,0.2,0.0,0.01,0.0,0.0,0.0,0.15,0.0,0.0
884,Mr. Brooks,0.46670247046186897,0.44280442804428044,0.6666666666666666,0.7849462365591398,0.05266666666666667,0.1,0.0,0.0,0.15,0.0,0.2,0.05,0.25,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
885,Waiting...,0.4656283566058002,0.34686346863468637,0.6666666666666666,0.7204301075268816,0.036,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
886,The Tree of Life,0.46885069817400643,0.5129151291512916,0.3333333333333333,0.7311827956989246,0.062,0.01,0.05,0.0,0.85,0.05,0.0,0.0,0.0,0.0,0.95,0.7,0.1,0.02,1.0,0.15,0.0,0.0,0.2,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0
887,Body Heat,0.4527389903329753,0.41697416974169743,0.6666666666666666,0.7956989247311828,0.013666666666666667,0.05,0.0,0.0,0.1,0.0,0.1,0.2,0.2,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.6,0.0,0.0,0.0,0.9,0.0,0.0
888,17 Again,0.4677765843179377,0.3763837638376384,0.3333333333333333,0.6881720430107526,0.07366666666666667,0.05,0.05,0.0,0.05,0.1,0.8,0.0,0.1,0.0,0.7,0.0,0.6,0.0,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.7,0.9,0.0,0.0,0.0,0.0,0.0
889,Lord of War,0.4656283566058002,0.45018450184501846,0.6666666666666666,0.8172043010752688,0.11433333333333333,0.7,0.0,0.0,0.1,0.2,0.05,0.95,0.1,0.0,0.8,0.05,0.0,0.0,1.0,0.2,0.15,0.0,0.05,0.0,0.2,0.15,0.0,0.0,0.0,0.0,0.75,0.1,0.0
890,Waterworld,0.4602577873254565,0.4981549815498155,0.3333333333333333,0.6774193548387096,0.07133333333333333,0.85,0.75,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.6,0.7,0.1,0.15,0.95,0.15,0.1,0.05,0.1,0.0,0.0,0.0,0.05,0.0,0.9,0.0,0.15,0.0,0.0
891,The Lego Movie,0.47046186895810954,0.36900369003690037,0.3333333333333333,0.8279569892473118,0.132,0.65,0.9,1.0,0.7,0.0,0.95,0.0,0.8,0.0,0.4,0.1,0.98,0.85,1.0,0.0,0.0,0.0,0.5,0.6,0.2,0.0,0.1,0.15,0.3,0.0,0.25,0.0,0.0
892,The Omen,0.45005370569280345,0.4095940959409594,0.6666666666666666,0.8064516129032258,0.04633333333333333,0.1,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0.15,0.15,0.3,0.95,0.0,0.0,0.85,0.05,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
893,The Naked Gun,0.47636949516648763,0.0,0.16666666666666666,0.0,0.0,0.2,0.05,0.0,0.0,0.0,0.95,0.05,0.8,0.0,0.1,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.15,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0
894,Alvin and the Chipmunks,0.46670247046186897,0.33948339483394835,0.3333333333333333,0.5698924731182795,0.03233333333333333,0.1,0.2,0.95,0.05,0.0,0.8,0.0,0.15,0.0,0.1,0.0,0.9,0.15,1.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
895,Deja Vu,0.46616541353383456,0.46494464944649444,0.3333333333333333,0.7634408602150536,0.111,0.65,0.1,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.8,0.0,0.9,0.0,0.0
896,Varsity Blues,0.462406015037594,0.39114391143911437,0.6666666666666666,0.6989247311827956,0.016666666666666666,0.2,0.05,0.0,0.05,0.0,0.15,0.0,0.1,0.0,0.6,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.15,0.0,0.8,0.05,0.0,0.0
897,John Tucker Must Die,0.46616541353383456,0.3284132841328413,0.3333333333333333,0.6129032258064516,0.03,0.1,0.0,0.0,0.05,0.0,0.95,0.0,0.8,0.0,0.2,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.0
898,Kamasutra 3D,0.4699248120300752,0.4059040590405904,0.6666666666666666,0.7096774193548386,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0
899,San Andreas,0.47099892588614395,0.42066420664206644,0.3333333333333333,0.6559139784946235,0.08733333333333333,0.95,0.8,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.7,0.6,0.2,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.85,0.0,0.0
900,Life,0.462406015037594,0.3985239852398524,0.6666666666666666,0.7311827956989246,0.018666666666666668,0.1,0.0,0.0,0.05,0.15,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.9,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
901,Rise of the Planet of the Apes,0.46885069817400643,0.3874538745387454,0.6666666666666666,0.8172043010752688,0.19533333333333333,0.95,0.8,0.0,0.1,0.2,0.05,0.0,0.0,0.0,0.75,0.6,0.65,0.25,1.0,0.15,0.0,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
902,Knocked Up,0.46670247046186897,0.47601476014760147,0.6666666666666666,0.7419354838709677,0.12966666666666668,0.05,0.0,0.0,0.05,0.0,0.95,0.0,0.8,0.0,0.7,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
903,The Woman King,0.4747583243823845,0.4981549815498155,0.3333333333333333,0.7419354838709677,0.025666666666666667,0.95,0.7,0.0,0.2,0.85,0.05,0.0,0.0,0.0,0.9,0.6,0.1,0.0,1.0,0.95,0.98,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
904,Molly's Game,0.47207303974221265,0.5166051660516605,0.16666666666666666,0.7956989247311828,0.06433333333333334,0.1,0.05,0.0,0.05,0.95,0.1,0.9,0.05,0.0,0.9,0.0,0.0,0.0,0.95,0.8,0.85,0.0,0.05,0.0,0.7,0.05,0.0,0.0,0.0,0.0,0.75,0.0,0.0
905,The Human Centipede 2 (Full Sequence),0.46885069817400643,0.33579335793357934,0.6666666666666666,0.4086021505376344,0.014666666666666666,0.01,0.0,0.0,0.05,0.0,0.0,0.05,0.1,0.0,0.15,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0
906,Magic Mike,0.46938775510204084,0.4059040590405904,0.6666666666666666,0.6559139784946235,0.049666666666666665,0.2,0.05,0.0,0.15,0.05,0.7,0.05,0.4,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.2,0.05,0.0,0.4,0.25,0.0,0.0,0.1,0.0,0.0
907,Ever After: A Cinderella Story,0.46186895810955964,0.44649446494464945,0.3333333333333333,0.7634408602150536,0.027666666666666666,0.05,0.1,0.0,0.15,0.05,0.6,0.0,0.1,0.0,0.7,0.05,0.8,0.75,1.0,0.1,0.2,0.0,0.2,0.3,0.15,0.0,0.95,0.85,0.0,0.0,0.05,0.0,0.0
908,Teeth,0.46670247046186897,0.34686346863468637,0.6666666666666666,0.5806451612903226,0.015666666666666666,0.01,0.01,0.0,0.25,0.0,0.15,0.05,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
909,A Beautiful Day in the Neighborhood,0.4731471535982814,0.4022140221402214,0.3333333333333333,0.7741935483870968,0.03,0.01,0.01,0.0,0.15,0.75,0.2,0.0,0.05,0.0,0.9,0.0,0.1,0.0,1.0,0.2,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910,Flipped,0.4683136412459721,0.33210332103321033,0.3333333333333333,0.8279569892473118,0.03333333333333333,0.01,0.05,0.0,0.1,0.0,0.9,0.0,0.15,0.0,0.85,0.0,0.95,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.98,0.85,0.0,0.0,0.0,0.0,0.0
911,Tommy Boy,0.4602577873254565,0.35793357933579334,0.3333333333333333,0.7634408602150536,0.03333333333333333,0.05,0.01,0.0,0.02,0.01,0.95,0.01,0.85,0.0,0.15,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0
912,Beowulf,0.46670247046186897,0.42435424354243545,0.3333333333333333,0.6774193548387096,0.058666666666666666,0.95,0.9,0.0,0.2,0.15,0.05,0.0,0.0,0.0,0.7,0.85,0.6,0.8,1.0,0.75,0.0,0.2,0.1,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.15,0.1,0.0
913,Freelance,0.47529538131041893,0.3985239852398524,0.6666666666666666,0.5913978494623655,0.007666666666666666,0.05,0.05,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
914,Foe,0.47529538131041893,0.4059040590405904,0.6666666666666666,0.5806451612903226,0.0036666666666666666,0.01,0.05,0.0,0.85,0.02,0.03,0.01,0.0,0.0,0.9,0.02,0.01,0.01,0.92,0.01,0.0,0.01,0.01,0.0,0.1,0.01,0.02,0.0,0.0,0.0,0.12,0.0,0.0
915,Shortbus,0.46616541353383456,0.3726937269372694,0.6666666666666666,0.6881720430107526,0.012,0.0,0.0,0.0,0.55,0.0,0.7,0.05,0.8,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.4,0.15,0.0,0.0,0.1,0.0,0.0
916,Tootsie,0.4532760472610097,0.4280442804428044,0.3333333333333333,0.7956989247311828,0.039,0.05,0.0,0.0,0.1,0.05,0.95,0.0,0.8,0.0,0.9,0.0,0.1,0.0,1.0,0.0,0.05,0.0,0.15,0.2,0.1,0.0,0.7,0.9,0.0,0.0,0.05,0.0,0.0
917,All of You,0.4758324382384533,0.36162361623616235,0.6666666666666666,0.7956989247311828,1.8333333333333333e-05,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
918,Rocketman,0.4731471535982814,0.44649446494464945,0.6666666666666666,0.7849462365591398,0.06666666666666667,0.2,0.1,0.0,0.15,0.95,0.3,0.05,0.0,0.0,0.85,0.1,0.15,0.0,0.98,0.7,0.0,0.0,0.9,0.8,0.05,0.0,0.2,0.0,0.0,0.0,0.05,0.0,0.0
919,Summer Snow,0.47046186895810954,0.3284132841328413,0.3333333333333333,0.6774193548387096,0.00012466666666666667,0.01,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.0
920,Ben-Hur,0.44092373791621914,0.7822878228782287,0.16666666666666666,0.8709677419354838,0.086,0.95,0.9,0.0,0.1,0.7,0.05,0.0,0.0,0.0,0.9,0.95,0.6,0.1,1.0,0.9,0.0,0.0,0.2,0.05,0.1,0.0,0.3,0.0,0.0,0.3,0.2,0.8,0.0
921,Fast Five,0.46885069817400643,0.4797047970479705,0.3333333333333333,0.7849462365591398,0.138,0.95,0.8,0.0,0.05,0.0,0.7,0.9,0.65,0.0,0.75,0.6,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.85,0.0,0.0
922,The Snowman,0.47207303974221265,0.43911439114391143,0.6666666666666666,0.5591397849462365,0.024666666666666667,0.1,0.05,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.15,0.05,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0
923,Caligula: The Ultimate Cut,0.47529538131041893,0.6568265682656826,0.6666666666666666,0.6774193548387096,0.00028533333333333335,0.2,0.0,0.0,0.75,0.95,0.1,0.8,0.25,0.0,0.9,0.15,0.0,0.0,0.98,0.9,0.95,0.2,0.1,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.6,0.05,0.0
924,Turning Red,0.4747583243823845,0.36900369003690037,0.6666666666666666,0.7526881720430108,0.05333333333333334,0.05,0.15,0.95,0.2,0.1,0.8,0.0,0.7,0.0,0.75,0.0,0.9,0.2,1.0,0.0,0.0,0.0,0.9,0.7,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0
925,The World's End,0.4699248120300752,0.4022140221402214,0.6666666666666666,0.7419354838709677,0.101,0.7,0.65,0.0,0.05,0.0,0.9,0.1,0.85,0.0,0.6,0.0,0.15,0.05,1.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
926,The Way Back,0.4683136412459721,0.4907749077490775,0.3333333333333333,0.7849462365591398,0.04133333333333333,0.05,0.05,0.0,0.1,0.8,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
927,Homefront,0.4699248120300752,0.36900369003690037,0.6666666666666666,0.6989247311827956,0.044333333333333336,0.85,0.2,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0
928,Cowboys & Aliens,0.46885069817400643,0.43911439114391143,0.3333333333333333,0.6451612903225806,0.07833333333333334,0.95,0.8,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.3,0.2,0.15,0.6,1.0,0.1,0.05,0.1,0.05,0.0,0.15,0.0,0.0,0.0,0.9,0.0,0.7,0.0,0.85
929,The Turning,0.47368421052631576,0.34686346863468637,0.3333333333333333,0.4193548387096774,0.005666666666666667,0.05,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.95,0.0,0.0,0.8,0.05,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
930,Imaginary,0.4758324382384533,0.3837638376383764,0.3333333333333333,0.5053763440860215,0.005,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
931,The Third Man,0.4355531686358754,0.34317343173431736,0.6666666666666666,0.8709677419354838,0.062,0.2,0.15,0.0,0.65,0.05,0.1,0.7,0.4,0.0,0.9,0.05,0.0,0.0,1.0,0.25,0.3,0.05,0.35,0.0,0.85,0.95,0.05,0.0,0.0,0.0,0.8,0.4,0.0
932,Don't Tell Mom the Babysitter's Dead,0.458109559613319,0.3763837638376384,0.3333333333333333,0.6774193548387096,0.013,0.05,0.1,0.0,0.05,0.0,0.7,0.0,0.5,0.0,0.3,0.0,0.8,0.0,1.0,0.0,0.0,0.1,0.05,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
933,The 13th Warrior,0.462406015037594,0.3763837638376384,0.6666666666666666,0.7096774193548386,0.04466666666666667,0.85,0.9,0.0,0.15,0.05,0.05,0.0,0.0,0.0,0.7,0.75,0.2,0.6,0.95,0.8,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.0
934,Sky High,0.4656283566058002,0.36900369003690037,0.3333333333333333,0.6774193548387096,0.032,0.7,0.65,0.95,0.1,0.05,0.8,0.0,0.25,0.0,0.55,0.05,0.9,0.7,1.0,0.0,0.0,0.0,0.2,0.15,0.05,0.0,0.3,0.4,0.1,0.0,0.1,0.0,0.0
935,"See No Evil, Hear No Evil",0.45703544575725025,0.3800738007380074,0.6666666666666666,0.7311827956989246,0.02,0.2,0.1,0.0,0.05,0.0,0.75,0.4,0.8,0.0,0.3,0.0,0.15,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0
936,Inherent Vice,0.47046186895810954,0.5461254612546126,0.6666666666666666,0.7096774193548386,0.03766666666666667,0.2,0.15,0.0,0.4,0.05,0.6,0.5,0.7,0.0,0.8,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.75,0.65,0.1,0.0,0.0,0.0,0.55,0.0,0.0
937,Boyhood,0.47046186895810954,0.6088560885608856,0.6666666666666666,0.8494623655913979,0.124,0.05,0.0,0.0,0.2,0.85,0.1,0.0,0.05,0.0,0.95,0.1,0.25,0.0,1.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
938,Halloween Ends,0.4747583243823845,0.4095940959409594,0.6666666666666666,0.5376344086021505,0.025333333333333333,0.6,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
939,The Ninth Gate,0.462406015037594,0.4907749077490775,0.16666666666666666,0.7204301075268816,0.067,0.2,0.55,0.0,0.7,0.1,0.05,0.15,0.0,0.0,0.8,0.25,0.0,0.65,0.95,0.4,0.0,0.45,0.1,0.0,0.9,0.2,0.05,0.0,0.0,0.0,0.85,0.0,0.0
940,No Strings Attached,0.46885069817400643,0.3985239852398524,0.6666666666666666,0.6666666666666666,0.08233333333333333,0.0,0.0,0.0,0.01,0.0,0.85,0.0,0.7,0.0,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.95,0.0,0.0,0.0,0.0,0.0
941,Jeepers Creepers,0.46348012889366275,0.33210332103321033,0.6666666666666666,0.6666666666666666,0.049,0.25,0.1,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.15,0.95,0.0,0.0,0.9,0.05,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.85,0.0,0.0
942,National Lampoon's European Vacation,0.4548872180451128,0.3505535055350554,0.3333333333333333,0.6666666666666666,0.024333333333333332,0.05,0.2,0.0,0.05,0.0,0.95,0.0,0.7,0.0,0.1,0.0,0.8,0.0,1.0,0.1,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.2,0.0,0.0,0.05,0.0,0.0
943,Mr. Nobody,0.4677765843179377,0.5202952029520295,0.6666666666666666,0.8279569892473118,0.083,0.05,0.1,0.0,0.7,0.2,0.05,0.0,0.0,0.0,0.9,0.15,0.0,0.1,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.4,0.0,0.2,0.0,0.05,0.0,0.0
944,The Neon Demon,0.4715359828141783,0.4317343173431734,0.6666666666666666,0.6559139784946235,0.035333333333333335,0.01,0.01,0.0,0.65,0.0,0.01,0.05,0.05,0.0,0.8,0.0,0.0,0.0,0.99,0.0,0.0,0.5,0.05,0.0,0.1,0.0,0.15,0.0,0.0,0.0,0.3,0.0,0.0
945,The Lego Batman Movie,0.47207303974221265,0.3837638376383764,0.3333333333333333,0.7849462365591398,0.059333333333333335,0.75,0.8,1.0,0.5,0.0,0.9,0.2,0.7,0.0,0.4,0.1,0.95,0.2,1.0,0.0,0.0,0.05,0.3,0.2,0.15,0.0,0.05,0.1,0.1,0.0,0.25,0.0,0.0
946,Terminator 3: Rise of the Machines,0.46455424274973145,0.4022140221402214,0.6666666666666666,0.6774193548387096,0.14133333333333334,0.95,0.7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.1,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
947,Spawn,0.46133190118152523,0.35424354243542433,0.3333333333333333,0.5591397849462365,0.024666666666666667,0.95,0.7,0.0,0.1,0.2,0.05,0.6,0.0,0.0,0.8,0.5,0.0,0.85,1.0,0.2,0.0,0.75,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0
948,Rampage,0.47261009667024706,0.3948339483394834,0.6666666666666666,0.6559139784946235,0.06333333333333334,0.95,0.8,0.0,0.05,0.0,0.2,0.0,0.15,0.0,0.1,0.6,0.3,0.1,1.0,0.0,0.0,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.7,0.0,0.0
949,Rocky Balboa,0.46616541353383456,0.3763837638376384,0.6666666666666666,0.7634408602150536,0.07833333333333334,0.85,0.05,0.0,0.1,0.7,0.15,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.95,0.05,0.0,0.0
950,Escape Room,0.4731471535982814,0.36531365313653136,0.6666666666666666,0.6881720430107526,0.049,0.7,0.65,0.0,0.1,0.0,0.2,0.15,0.0,0.0,0.55,0.05,0.1,0.05,1.0,0.0,0.0,0.2,0.05,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
951,The Outfit,0.4747583243823845,0.3874538745387454,0.6666666666666666,0.7741935483870968,0.026,0.1,0.0,0.0,0.2,0.05,0.05,0.85,0.15,0.0,0.7,0.0,0.0,0.0,1.0,0.05,0.1,0.0,0.05,0.0,0.6,0.25,0.0,0.0,0.0,0.0,0.6,0.0,0.0
952,Indiana Jones and the Kingdom of the Crystal Skull,0.4672395273899033,0.45018450184501846,0.3333333333333333,0.6666666666666666,0.16566666666666666,0.85,0.78,0.0,0.1,0.05,0.3,0.05,0.0,0.0,0.15,0.6,0.65,0.4,1.0,0.2,0.0,0.1,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
953,1408,0.14500537056928034,0.3837638376383764,0.3333333333333333,0.7311827956989246,0.1,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
954,The Wiz,0.45112781954887216,0.4944649446494465,0.16666666666666666,0.6021505376344085,0.006,0.1,0.25,0.8,0.3,0.05,0.4,0.0,0.15,0.0,0.6,0.15,0.75,0.95,0.95,0.1,0.1,0.0,0.9,0.95,0.05,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0
955,Elysium,0.4699248120300752,0.4022140221402214,0.6666666666666666,0.7096774193548386,0.159,0.8,0.6,0.0,0.2,0.0,0.05,0.1,0.0,0.0,0.75,0.5,0.0,0.0,1.0,0.0,0.0,0.1,0.15,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0
