Title,Year,Duration,Rated,IMDB Rating,Number of Ratings,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
The Master,2012,2h 18m,R,7.1,189K,0.1,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Wick: Chapter 3 - Parabellum,2019,2h 10m,R,7.4,440K,0.98,0.85,0.0,0.1,0.0,0.05,0.95,0.0,0.0,0.7,0.15,0.0,0.0,1.0,0.0,0.0,0.05,0.15,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Captain Fantastic,2016,1h 58m,R,7.8,240K,0.05,0.2,0.0,0.15,0.1,0.05,0.0,0.0,0.0,0.8,0.05,0.6,0.0,0.95,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0
Wanted,2008,1h 50m,R,6.7,415K,0.95,0.8,0.0,0.1,0.05,0.2,0.75,0.15,0.0,0.6,0.1,0.2,0.4,1.0,0.05,0.0,0.1,0.15,0.0,0.7,0.1,0.1,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.05,0.0,0.15
Breathe,2024,1h 33m,PG,4.2,,0.05,0.0,0.0,0.1,0.95,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0
Gran Torino,2008,1h 56m,G,8.1,827K,0.2,0.05,0.0,0.15,0.0,0.1,0.1,0.15,0.0,0.9,0.05,0.0,0.0,1.0,0.1,0.2,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.0,0.0,0.0
Carved,2024,1h 35m,R,4.4,,0.1,0.0,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.05,0.05,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Taps,1981,2h 6m,PG,6.8,21K,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.8,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
Star Wars: Episode VIII - The Last Jedi,2017,2h 32m,PG,6.9,685K,0.85,0.92,0.0,0.15,0.05,0.2,0.0,0.0,0.0,0.75,0.8,0.6,0.88,1.0,0.1,0.0,0.0,0.7,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.4,0.05,0.0,0.18,0.08,0.0,0.98
The Untouchables,1987,1h 59m,R,7.8,337K,0.75,0.05,0.0,0.1,0.9,0.05,0.95,0.0,0.0,0.9,0.15,0.0,0.0,1.0,0.9,0.9,0.0,0.05,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Rain Man,1988,2h 13m,R,8.0,556K,0.01,0.05,0.0,0.15,0.95,0.2,0.05,0.1,0.0,0.98,0.05,0.85,0.0,1.0,0.0,0.1,0.0,0.1,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Moon,2009,1h 37m,R,7.8,382K,0.1,0.05,0.0,0.25,0.15,0.0,0.05,0.0,0.0,0.8,0.05,0.0,0.1,0.95,0.05,0.0,0.05,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.75
Bones and All,2022,2h 11m,R,6.8,63K,0.05,0.1,0.0,0.25,0.0,0.15,0.05,0.2,0.0,0.75,0.0,0.0,0.0,0.95,0.0,0.05,0.6,0.1,0.0,0.15,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Spartacus,1960,3h 17m,PG,7.9,146K,0.95,0.8,0.0,0.1,0.7,0.05,0.6,0.0,0.0,0.9,0.85,0.1,0.05,0.95,0.9,0.0,0.1,0.2,0.05,0.2,0.05,0.15,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.95,0.0,0.0
Basic Instinct 2,2006,1h 54m,R,4.4,42K,0.05,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.3,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Blade: Trinity,2004,1h 53m,R,5.8,193K,0.95,0.8,0.0,0.05,0.0,0.1,0.15,0.0,0.0,0.2,0.1,0.0,0.5,1.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.05,0.0,0.0,0.9
We Need to Talk About Kevin,2011,1h 52m,R,7.5,172K,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Sinners,2025,,,,,0.1,0.05,0.0,0.05,0.0,0.0,0.8,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.05,0.0,0.0,0.0
Deliver Us from Evil,2014,1h 58m,R,6.2,88K,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.95,0.0,0.0,0.85,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
The Abyss,1989,2h 20m,PG,7.5,198K,0.85,0.7,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.05,0.0,1.0,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.95,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Hostel,2005,1h 34m,R,5.9,195K,0.2,0.05,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
30 Days of Night,2007,1h 53m,R,6.6,193K,0.85,0.2,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.15
Straight Outta Compton,2015,2h 27m,R,7.8,223K,0.7,0.05,0.0,0.05,0.95,0.2,0.8,0.0,0.0,0.9,0.0,0.0,0.0,0.95,0.85,0.0,0.0,0.9,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.9,0.0,0.0
The Last Voyage of the Demeter,2023,1h 58m,R,6.1,58K,0.6,0.2,0.0,0.15,0.05,0.0,0.25,0.0,0.0,0.75,0.3,0.0,0.1,0.95,0.15,0.0,0.8,0.05,0.0,0.7,0.05,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.35,0.0,0.0
Dog Man,2025,,PG,,,0.05,0.1,0.95,0.05,0.0,0.8,0.0,0.15,0.0,0.1,0.0,0.9,0.05,0.95,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Cloverfield Lane,2016,1h 43m,PG,7.2,364K,0.2,0.1,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.6,0.0,0.0,0.0,0.95,0.0,0.0,0.85,0.0,0.0,0.7,0.0,0.0,0.0,0.75,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Adam Project,2022,1h 46m,PG,6.7,240K,0.75,0.6,0.0,0.05,0.1,0.5,0.0,0.4,0.0,0.7,0.2,0.65,0.3,1.0,0.0,0.0,0.0,0.1,0.0,0.45,0.0,0.25,0.2,0.9,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Planet of the Apes,2001,2h,PG,5.7,236K,0.85,0.9,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.7,0.75,0.1,0.8,1.0,0.0,0.0,0.2,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.95
Shrek 2,2004,1h 33m,PG,7.4,518K,0.1,0.75,0.95,0.2,0.0,0.9,0.0,0.6,0.0,0.25,0.15,0.98,0.9,0.95,0.05,0.0,0.05,0.3,0.4,0.1,0.0,0.5,0.7,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Hurt Locker,2008,2h 11m,R,7.5,479K,0.95,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.9,0.05,0.0,0.0,1.0,0.05,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.9,0.85,0.0,0.0,0.0,0.0,0.0
Toy Story 4,2019,1h 40m,G,7.6,290K,0.05,0.6,0.95,0.1,0.0,0.8,0.0,0.2,0.0,0.6,0.0,0.9,0.1,1.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minions,2015,1h 31m,PG,6.4,268K,0.1,0.25,0.95,0.05,0.0,0.8,0.0,0.2,0.0,0.05,0.0,0.9,0.1,1.0,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1
Coming to America,1988,1h 57m,R,7.1,229K,0.05,0.1,0.0,0.05,0.0,0.95,0.0,0.2,0.0,0.2,0.0,0.8,0.1,1.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Wedding Singer,1998,1h 37m,PG,6.9,166K,0.1,0.05,0.0,0.15,0.0,0.95,0.05,0.8,0.0,0.7,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.7,0.85,0.1,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.98,0.0
The Hunt,2020,1h 30m,R,6.6,134K,0.2,0.0,0.0,0.05,0.0,0.15,0.1,0.25,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
Gor,1987,1h 34m,G,3.5,,0.7,0.85,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.6,0.3,0.7,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Ant-Man,2015,1h 57m,PG,7.2,737K,0.85,0.7,0.0,0.05,0.0,0.6,0.1,0.0,0.0,0.4,0.1,0.65,0.2,1.0,0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.75,0.0,0.0,0.55,0.0,0.15,0.9
Donnie Brasco,1997,2h 7m,R,7.7,339K,0.2,0.05,0.0,0.1,0.85,0.05,0.95,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.05,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.05,0.8,0.0,0.0
Alexander,2004,2h 55m,R,5.6,178K,0.85,0.9,0.0,0.5,0.7,0.1,0.05,0.0,0.0,0.8,0.95,0.2,0.15,0.98,0.9,0.92,0.0,0.6,0.05,0.1,0.0,0.15,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0
Shazam! Fury of the Gods,2023,2h 10m,G,5.9,132K,0.95,0.9,0.0,0.05,0.0,0.7,0.0,0.0,0.0,0.5,0.2,0.85,0.95,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.65,0.0,0.0,0.1
Child's Play,1988,1h 27m,R,6.7,122K,0.05,0.01,0.0,0.02,0.0,0.05,0.01,0.0,0.0,0.15,0.0,0.1,0.05,1.0,0.0,0.0,0.95,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.0
For Your Eyes Only,1981,2h 7m,PG,6.7,110K,0.95,0.9,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.2,0.05,0.15,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Dark City,1998,1h 40m,R,7.6,216K,0.2,0.15,0.0,0.75,0.0,0.05,0.0,0.0,0.0,0.8,0.05,0.0,0.6,1.0,0.0,0.0,0.3,0.1,0.0,0.95,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9
Pompeii,2014,1h 45m,PG,5.5,118K,0.85,0.7,0.0,0.1,0.05,0.1,0.05,0.0,0.0,0.6,0.75,0.2,0.1,0.95,0.8,0.8,0.2,0.05,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Brave,2012,1h 33m,PG,7.1,453K,0.2,0.85,1.0,0.6,0.0,0.25,0.0,0.0,0.0,0.7,0.1,0.95,0.6,1.0,0.15,0.0,0.0,0.4,0.15,0.05,0.0,0.4,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0
Jacob's Ladder,1990,1h 53m,R,7.4,121K,0.1,0.0,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.05,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9,0.15,0.0,0.0,0.0,0.0,0.0
The Blind Side,2009,2h 9m,PG,7.6,368K,0.05,0.0,0.0,0.0,0.95,0.1,0.0,0.0,0.0,0.9,0.0,0.8,0.0,1.0,0.2,0.7,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Road Trip,2000,1h 33m,R,6.5,181K,0.05,0.15,0.0,0.0,0.0,0.95,0.0,0.7,0.0,0.3,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.05,0.0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.6,0.0
Mortal Engines,2018,2h 8m,PG,6.1,145K,0.85,0.92,0.0,0.15,0.0,0.1,0.12,0.0,0.0,0.7,0.8,0.4,0.85,0.95,0.75,0.0,0.1,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.65,0.1,0.0,0.05,0.7,0.0,0.9
Bring It On,2000,1h 38m,PG,6.1,108K,0.1,0.05,0.0,0.05,0.0,0.85,0.0,0.2,0.0,0.25,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.15,0.1,0.0,0.0,0.2,0.6,0.0,0.7,0.05,0.0,0.0,0.0,0.0,0.0,0.0
6 Underground,2019,2h 8m,R,6.1,202K,0.95,0.8,0.0,0.05,0.1,0.15,0.85,0.2,0.0,0.7,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Love Hard,2021,1h 44m,R,6.3,63K,0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.7,0.0,0.6,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vertigo,1958,2h 8m,PG,8.3,437K,0.2,0.15,0.0,0.75,0.0,0.0,0.05,0.0,0.0,0.9,0.1,0.0,0.0,1.0,0.0,0.0,0.05,0.25,0.0,0.95,0.8,0.1,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0
Trigger Warning,2024,1h 46m,R,4.6,18K,0.05,0.01,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matilda: The Musical,2022,1h 57m,PG,7.0,30K,0.05,0.2,0.0,0.15,0.0,0.6,0.0,0.25,0.0,0.75,0.0,0.9,0.2,1.0,0.0,0.0,0.0,0.8,0.95,0.1,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Strangers,2008,1h 26m,R,6.1,150K,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.02,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0
Hostiles,2017,2h 14m,R,7.2,99K,0.65,0.5,0.0,0.1,0.2,0.05,0.15,0.0,0.0,0.75,0.3,0.0,0.0,0.95,0.6,0.7,0.0,0.05,0.0,0.35,0.0,0.05,0.0,0.0,0.0,0.5,0.4,0.8,0.0,0.0,0.0,0.0
The Bourne Ultimatum,2007,1h 55m,PG,8.0,666K,0.95,0.8,0.0,0.05,0.0,0.0,0.85,0.0,0.0,0.7,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.1
Cape Fear,1991,2h 8m,R,7.3,222K,0.2,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.85,0.15,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0
The Terminal,2004,2h 8m,PG,7.4,506K,0.05,0.1,0.0,0.2,0.15,0.6,0.05,0.65,0.0,0.8,0.05,0.2,0.0,1.0,0.1,0.15,0.0,0.1,0.1,0.1,0.0,0.3,0.65,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Natural Born Killers,1994,1h 59m,R,7.2,257K,0.2,0.0,0.0,0.4,0.05,0.7,0.9,0.95,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Do the Right Thing,1989,2h,R,7.9,116K,0.05,0.0,0.0,0.8,0.05,0.2,0.05,0.15,0.0,0.95,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Hitman's Bodyguard,2017,1h 58m,R,6.9,252K,0.95,0.6,0.0,0.05,0.0,0.8,0.75,0.7,0.0,0.2,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.15,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.4,0.0
A Christmas Story Christmas,2022,1h 38m,PG,6.7,19K,0.01,0.05,0.0,0.1,0.2,0.7,0.0,0.1,0.0,0.6,0.0,0.95,0.0,1.0,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janet Planet,2023,1h 53m,PG,6.2,2K,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.15,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Speed,1994,1h 56m,R,7.3,401K,0.95,0.2,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
This Means War,2012,1h 43m,PG,6.3,196K,0.7,0.1,0.0,0.05,0.0,0.85,0.0,0.7,0.0,0.6,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.9,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.95,0.0
Watchmen: Chapter I,2024,1h 23m,R,7.0,4K,0.95,0.7,0.0,0.8,0.65,0.1,0.9,0.0,0.0,0.9,0.6,0.05,0.15,0.95,0.75,0.0,0.85,0.15,0.0,0.9,0.7,0.05,0.0,0.0,0.0,0.95,0.2,0.0,0.2,0.8,0.0,0.9
The Basketball Diaries,1995,1h 42m,R,7.3,124K,0.1,0.0,0.0,0.05,0.85,0.05,0.2,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Cars 2,2011,1h 46m,G,6.2,227K,0.6,0.75,0.95,0.1,0.0,0.65,0.05,0.0,0.0,0.2,0.15,0.9,0.2,0.95,0.05,0.0,0.0,0.3,0.25,0.15,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.4,0.0,0.15,0.25
The Many Saints of Newark,2021,2h,R,6.3,65K,0.3,0.05,0.0,0.1,0.95,0.1,0.9,0.05,0.0,0.9,0.0,0.0,0.0,1.0,0.9,0.95,0.0,0.05,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Easy Rider,1969,1h 35m,R,7.2,119K,0.7,0.85,0.0,0.6,0.1,0.75,0.2,0.65,0.05,0.9,0.2,0.05,0.0,1.0,0.15,0.1,0.0,0.4,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.1,0.0,0.95,0.0,0.0,0.0,0.0
Silent Night,2023,1h 44m,R,5.3,23K,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.3,0.0,1.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Spring Breakers,2012,1h 34m,R,5.3,151K,0.2,0.05,0.0,0.3,0.0,0.7,0.15,0.8,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.4,0.25,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.0
Boyz n the Hood,1991,1h 52m,R,7.8,159K,0.05,0.0,0.0,0.05,0.1,0.05,0.2,0.0,0.0,0.9,0.0,0.15,0.0,1.0,0.05,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Vanilla Sky,2001,2h 16m,R,6.9,290K,0.2,0.05,0.0,0.15,0.0,0.1,0.05,0.0,0.0,0.75,0.0,0.0,0.05,0.95,0.0,0.0,0.1,0.2,0.0,0.6,0.25,0.8,0.0,0.0,0.0,0.85,0.0,0.0,0.15,0.0,0.05,0.2
Austin Powers: The Spy Who Shagged Me,1999,1h 35m,PG,6.7,253K,0.65,0.5,0.0,0.05,0.0,0.95,0.1,0.8,0.0,0.15,0.0,0.4,0.2,1.0,0.05,0.0,0.05,0.1,0.15,0.2,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.9,0.15
The Conjuring 2,2016,2h 14m,R,7.3,311K,0.1,0.15,0.0,0.05,0.2,0.05,0.1,0.0,0.0,0.4,0.0,0.1,0.05,0.95,0.15,0.2,0.85,0.05,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Captain Phillips,2013,2h 14m,PG,7.8,501K,0.85,0.1,0.0,0.05,0.7,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0.0,1.0,0.6,0.75,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Scary Movie 4,2006,1h 23m,PG,5.1,132K,0.1,0.05,0.0,0.0,0.0,0.95,0.05,0.9,0.0,0.05,0.0,0.15,0.05,1.0,0.0,0.0,0.7,0.1,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.05
Mirage,1965,1h 48m,R,7.2,,0.05,0.1,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Big Trouble in Little China,1986,1h 39m,PG,7.2,158K,0.95,0.9,0.0,0.1,0.0,0.85,0.15,0.7,0.0,0.2,0.25,0.1,0.8,1.0,0.1,0.05,0.75,0.2,0.05,0.3,0.1,0.05,0.0,0.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Event Horizon,1997,1h 36m,R,6.6,202K,0.7,0.65,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.2,0.95,0.0,0.0,0.9,0.05,0.0,0.6,0.0,0.0,0.0,0.85,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
The Old Guard,2020,2h 5m,G,6.7,188K,0.95,0.7,0.0,0.1,0.2,0.3,0.15,0.4,0.0,0.8,0.1,0.1,0.6,1.0,0.2,0.25,0.1,0.15,0.0,0.2,0.05,0.25,0.0,0.85,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
DogMan,2023,1h 55m,R,6.8,17K,0.2,0.05,0.0,0.05,0.0,0.6,0.3,0.0,0.0,0.4,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.55,0.0,0.0,0.0
Fire in the Sky,1993,1h 49m,PG,6.5,29K,0.2,0.05,0.0,0.05,0.7,0.0,0.0,0.0,0.1,0.65,0.0,0.0,0.0,0.9,0.8,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.75,0.0,0.0
The Aviator,2004,2h 50m,PG,7.5,390K,0.1,0.05,0.0,0.2,0.95,0.05,0.05,0.0,0.0,0.9,0.15,0.0,0.0,1.0,0.9,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.95,0.0,0.0
Scrooged,1988,1h 41m,PG,6.9,118K,0.05,0.01,0.0,0.1,0.05,0.95,0.02,0.8,0.0,0.7,0.01,0.15,0.05,1.0,0.05,0.05,0.01,0.2,0.1,0.05,0.01,0.1,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Purge,2013,1h 25m,R,5.7,247K,0.7,0.1,0.0,0.05,0.0,0.05,0.6,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.1,0.0,0.85,0.05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.15,0.0,0.0,0.0
Freakier Friday,2025,,,,,0.05,0.0,0.0,0.0,0.0,0.8,0.0,0.1,0.0,0.6,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
